job_position_name,educationaL_requirements,skills_required,matched_score,skills_count,educational_institution_name_count,degree_names_count,passing_years_count,educational_results_count,result_types_count,major_field_of_studies_count,professional_company_names_count,start_dates_count,end_dates_count,related_skils_in_job_count,positions_count,locations_count,extra_curricular_activity_types_count,extra_curricular_organization_names_count,role_positions_count,languages_count,proficiency_levels_count,certification_providers_count,certification_skills_count,issue_dates_count,expiry_dates_count,required_exp_years,min_age_required
Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,"AutoCAD
Solidworks",75.0,36,3,3,3,1,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,5,24
Asst. Manager/ Manger (Administrative),Bachelor/Honors,"•Administration
•Health Safety and Environment
•Safety and Security Management",65.0,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,5,28
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,65.0,7,1,1,1,1,1,1,2,2,2,0,2,2,3,3,3,0,0,0,0,0,0,5,0
Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,"AutoCAD
Solidworks",31.6666667,22,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,0,0,4,4,4,0,5,24
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",58.3333333,10,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,2,25
Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,"ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",85.0,13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,25
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,"Cisco
Linux
Operation & Maintenance of Server",85.0,28,1,1,1,1,1,1,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,4,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",62.66666669999999,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,0
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",33.3333333,10,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,5,30
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,65.0,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,40
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",21.66666666666666,13,1,1,1,0,0,1,3,3,3,0,3,3,1,1,1,0,0,1,0,1,0,2,25
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",85.0,13,2,2,2,2,0,2,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,3,25
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",65.0,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,0
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,85.0,48,2,2,0,0,0,0,6,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,20
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,65.0,16,2,2,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",65.0,10,2,2,2,2,0,2,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,2,25
Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Having CACC from reputed CA Firm
Internal Audit and Compliance",85.0,15,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0
Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",59.66666670000001,14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,22
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,85.0,55,2,2,2,2,2,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,5,0
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",75.0,13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",Human Resource Management,38.3333333,14,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,18
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",85.0,11,1,1,1,1,1,1,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,3,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",85.0,113,3,3,3,3,0,3,3,3,3,3,3,3,1,1,1,0,0,0,0,0,0,3,0
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",65.0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4,0
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,85.0,11,3,3,3,3,3,3,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,3,40
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,"Cisco
Linux
Operation & Maintenance of Server",75.0,12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",81.66666670000001,7,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,62.33333330000001,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",71.66666670000001,3,1,1,1,1,1,1,2,2,2,2,2,2,3,3,1,0,0,0,1,0,0,5,0
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",65.0,35,2,2,2,2,0,2,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",78.33333329999999,36,11,11,11,0,0,11,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,22
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,71.66666670000001,11,2,2,2,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,40
Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","AUDIT AND INSPECTION
Banking
Internal Audit",55.00000000000001,41,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,15,52
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,85.0,27,1,1,1,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",85.0,36,2,2,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,25
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",78.33333329999999,9,2,2,2,1,1,2,3,3,3,3,3,3,2,2,2,0,0,3,1,3,0,5,0
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",71.66666666666667,26,1,1,1,1,1,1,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,5,0
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",65.0,10,2,2,2,2,0,2,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,5,30
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,53.333333333333336,40,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,5,0
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",65.0,17,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,25
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",60.0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0
Asst. Manager/ Manger (Administrative),Bachelor/Honors,"•Administration
•Health Safety and Environment
•Safety and Security Management",78.33333333333333,39,2,2,2,2,2,2,3,3,3,3,3,3,0,0,0,2,2,0,0,0,0,5,28
Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,unknown,48.3333333,13,3,3,3,3,3,3,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",85.0,26,2,1,1,0,0,1,6,6,6,1,6,6,0,0,0,0,0,0,0,0,0,4,0
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",71.66666670000001,3,1,1,1,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,3,0
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",75.0,9,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,2,25
Business Development Executive,Bachelor/Honors,"Fast typing skill
IELTSInternet browsing & online work ability.",48.0,10,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,22
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",78.33333329999999,13,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,4,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",85.0,20,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,3,0
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,85.0,48,2,2,0,0,0,0,6,6,5,6,6,6,0,0,0,0,0,0,0,0,0,1,0
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,65.0,8,2,2,2,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",69.33333329999999,9,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,2,25
Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Having CACC from reputed CA Firm
Internal Audit and Compliance",65.0,18,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",76.0,10,1,1,1,1,1,1,4,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",73.66666670000001,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,25
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",78.33333329999999,26,2,1,2,0,0,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,4,0
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",65.0,6,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,5,30
Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,"AutoCAD
Solidworks",34.0,4,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,5,24
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,62.33333330000001,13,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,85.0,17,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,20
HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",Human Resource Management,65.6666667,16,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,18
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,69.33333329999999,16,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,40
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,85.0,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,0
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,82.66666670000001,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,40
Business Development Executive,Bachelor/Honors,"Fast typing skill
IELTSInternet browsing & online work ability.",56.99999999999999,9,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,22
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,85.0,39,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,5,0
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,82.66666670000001,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,0
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",76.0,70,2,2,2,0,0,2,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,2,25
Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,"Computer skill
Good communication skills
Mechanical Engineering
Quick learner and hard working",68.33333329999999,15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,22
Asst. Manager/ Manger (Administrative),Bachelor/Honors,"•Administration
•Health Safety and Environment
•Safety and Security Management",75.0,18,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,5,28
Asst. Manager/ Manger (Administrative),Bachelor/Honors,"•Administration
•Health Safety and Environment
•Safety and Security Management",85.0,45,2,2,2,2,2,2,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,5,28
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",71.66666670000001,7,1,1,1,1,1,1,2,2,2,0,2,2,1,1,1,0,0,0,0,0,0,2,25
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",85.0,22,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,3,0
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",65.0,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5,0
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,22.66666666666666,58,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,20
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",55.00000000000001,10,1,1,1,0,0,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,2,25
Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","AUDIT AND INSPECTION
Banking
Internal Audit",75.0,4,1,1,0,1,0,1,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,15,52
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",60.0,12,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,55.00000000000001,7,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,1,0
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",85.0,10,2,2,2,2,0,2,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,3,0
DevOps Engineer,Bachelor/Honors,"Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",65.0,32,2,1,1,1,0,2,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0,3,0
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",65.0,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,25
Data Engineer,Bachelor of Science (BSc),"Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",68.33333329999999,10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,85.0,12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,85.0,11,1,1,1,0,0,1,2,2,1,2,2,2,1,1,1,0,0,0,0,0,0,3,0
Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),unknown,71.66666670000001,27,1,1,1,1,1,1,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,20
Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,"Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",85.0,26,2,1,1,0,0,1,6,6,6,1,6,6,0,0,0,0,0,0,0,0,0,5,30
Network Support Engineer,"Diploma, Bachelor/Honors","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",85.0,12,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,25
Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,unknown,65.0,12,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,40
"Full Stack Developer (Python,React js)",Bachelor/Honors,unknown,79.33333329999999,20,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,0,0,1,0,1,0,3,0
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",65.0,7,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,2,25
Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,"Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",34.3333333,18,5,5,5,5,5,5,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,2,25
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",35.0,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,25
Executive - VAT,BBA in Accounting and Finance,VAT and Tax,65.0,13,1,1,1,1,1,1,4,4,4,4,4,4,0,0,0,0,0,1,1,1,0,1,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",82.66666670000001,13,1,1,1,0,0,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,3,0
Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm","Having CACC from reputed CA Firm
Internal Audit and Compliance",81.66666666666667,36,3,3,3,1,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,2,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",71.66666670000001,16,2,2,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0
HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",Human Resource Management,65.0,0,2,2,2,2,2,2,9,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,18
Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)","AUDIT AND INSPECTION
Banking
Internal Audit",55.00000000000001,21,2,2,2,1,1,2,4,3,3,4,4,2,0,0,0,0,0,0,0,0,0,15,52
Civil Engineer,B.Sc in Civil Engineering from a reputed university.,"AutoCAD
ETABS
Microsoft Office Suite
MS Project",16.0,56,2,2,2,2,2,2,7,7,7,7,7,7,0,0,0,0,0,1,0,1,1,5,30
Business Development Executive,Bachelor/Honors,"Fast typing skill
IELTSInternet browsing & online work ability.",65.0,60,2,2,2,2,2,2,6,6,6,0,6,6,0,0,0,2,2,0,0,0,0,1,22
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",65.0,6,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,25
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",78.33333329999999,34,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,2,2,2,0,4,0
"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,"Cisco
Linux
Operation & Maintenance of Server",65.0,18,5,5,5,5,5,5,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,4,0
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",75.0,36,1,1,1,0,0,1,6,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0
HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",Human Resource Management,71.66666670000001,51,3,3,0,0,0,1,3,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,18
